"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"chrh:1309",4,17,47,22,13,20
"chrh:1357",16,26,39,43,22,26
"chrh:1383",12,30,7,18,23,22
"chrh:1515",49,4,24,7,24,24
"chrh:1570",11,41,31,8,1,12
"chrh:1640",25,28,23,26,21,25
"chrh:1690",18,32,28,29,41,26
"chrh:1765",35,26,31,16,7,24
"chrh:1815",10,33,8,35,21,9
"chrh:2114",22,3,21,27,23,6
"chrh:2147",14,21,18,19,37,35
"chrh:2569",21,38,25,6,17,18
"chrh:2743",32,7,31,8,9,17
"chrh:2809",13,23,20,28,24,30
"chrh:2963",18,40,5,1,14,28
"chrh:3170",17,2,29,21,29,22
"chrh:3293",28,33,31,17,27,4
"chrh:3316",26,23,19,1,23,22
"chrh:3336",23,10,18,11,24,41
"chrh:3366",28,10,41,11,32,26
"chrh:3390",22,16,13,26,12,17
"chrh:3439",18,12,19,21,10,17
"chrh:3749",10,16,17,1,21,1
"chrh:3777",8,16,29,36,33,11
"chrh:3789",19,34,14,20,5,14
"chrh:3860",2,22,45,13,8,21
"chrh:3943",11,22,33,14,37,16
"chrh:3951",13,19,12,9,23,20
"chrh:4023",22,19,9,14,14,12
"chrh:4028",30,13,10,1,23,20
"chrh:4145",13,10,18,35,13,26
"chrh:4282",34,20,5,23,31,13
"chrh:4685",1,12,26,26,16,22
"chrh:4864",6,1,11,16,24,18
"chrh:5044",11,8,6,12,23,17
"chrh:5166",32,26,11,25,13,15
"chrh:5233",25,22,29,21,26,29
"chrh:5478",17,31,1,23,23,32
"chrh:5522",19,31,3,1,25,33
"chrh:5604",16,18,20,25,22,10
"chrh:5710",17,12,28,12,19,15
"chrh:5724",14,10,5,27,25,32
"chrh:5802",33,25,30,17,29,21
"chrh:5811",24,20,20,35,14,18
"chrh:6003",36,31,1,20,13,23
"chrh:6051",17,15,41,19,13,15
"chrh:6135",17,13,20,11,16,3
"chrh:6314",11,12,21,17,25,14
"chrh:6500",26,3,28,38,13,38
"chrh:6566",20,28,7,16,17,28
"chrh:6721",16,19,16,20,27,19
"chrh:6759",33,25,30,21,3,34
"chrh:6898",29,13,25,29,18,29
"chrh:6909",19,29,40,19,19,41
"chrh:6929",18,26,3,24,27,27
"chrh:7266",18,24,5,34,11,46
"chrh:7274",17,34,30,13,16,27
"chrh:7574",19,21,8,30,26,22
"chrh:7758",18,1,19,12,11,25
"chrh:7837",6,7,21,36,21,16
"chrh:7906",29,24,22,27,15,32
"chrh:7995",23,12,9,14,10,25
"chrh:8170",14,33,24,21,9,17
"chrh:8172",36,29,26,16,19,27
"chrh:8177",14,7,1,24,25,9
"chrh:8200",27,30,15,20,15,10
"chrh:8202",33,31,23,23,22,23
"chrh:8203",27,27,10,11,3,20
"chrh:8277",21,20,25,9,38,14
"chrh:8285",34,26,22,38,11,24
"chrh:8312",32,1,2,1,8,15
"chrh:8333",16,8,31,14,5,36
"chrh:8581",29,1,17,46,15,32
"chrh:8666",7,32,50,19,12,16
"chrh:8843",16,22,1,35,27,32
"chrh:8911",22,25,16,16,34,13
"chrh:8998",28,18,7,13,12,23
"chrh:9006",27,20,15,14,17,23
"chrh:9044",5,33,31,18,23,30
"chrh:9212",14,27,27,24,28,2
"chrh:9349",11,13,24,19,3,9
"chrh:9496",15,17,18,33,8,7
"chrh:9572",28,22,12,31,7,20
"chrh:9630",30,11,39,24,14,15
"chrh:9716",16,25,24,21,25,33
"chrh:9728",26,33,45,27,19,11
"chrh:9810",10,22,7,18,11,24
"chrh:9840",11,28,25,34,4,27
"chrh:9875",5,26,23,49,18,18
"chrh:9932",7,17,18,20,11,27
"chri:29",32,24,24,40,26,12
"chri:90",26,5,16,21,2,14
"chri:240",24,19,26,32,35,19
"chri:275",40,14,21,4,3,26
"chri:352",25,31,5,30,1,12
"chri:513",11,21,19,18,19,22
"chri:585",25,32,20,22,29,17
"chri:594",25,23,6,14,9,4
"chri:765",25,19,36,31,13,21
"chri:818",12,12,20,22,21,37
"chri:832",14,37,19,23,12,22
"chri:938",31,21,11,22,18,9
"chri:966",22,16,33,25,18,14
"chri:1343",24,29,1,17,17,25
"chri:1459",1,27,1,4,16,8
"chri:1584",5,29,1,14,38,15
"chri:1659",34,16,24,7,16,34
"chri:1667",34,11,29,10,9,23
"chri:1926",18,20,28,18,7,18
"chri:1962",21,8,32,19,23,14
"chri:2028",10,21,35,13,5,28
"chri:2683",15,11,1,17,20,2
"chri:2813",30,19,17,8,13,7
"chri:2881",46,31,1,8,18,4
"chri:2887",15,30,21,16,23,13
"chri:2963",12,13,4,14,15,34
"chri:2975",19,14,16,12,2,2
"chri:3520",25,31,13,16,1,12
"chri:3585",33,19,1,12,12,35
"chri:3620",22,30,19,27,19,11
"chri:3621",23,5,33,11,19,45
"chri:3723",1,12,26,21,28,26
"chri:3935",15,11,19,22,27,15
"chri:3970",37,19,32,26,24,32
"chri:4135",21,14,5,3,22,2
"chri:4296",20,34,15,21,11,21
"chri:4422",1,3,12,21,1,30
"chri:4431",21,29,34,31,3,16
"chri:4445",6,14,7,38,3,22
"chri:4598",30,12,11,5,3,23
"chri:4603",31,5,25,26,17,20
"chri:4638",33,24,37,16,24,5
"chri:4707",21,15,35,47,22,32
"chri:4831",12,9,36,23,19,11
"chri:4898",30,24,1,5,18,24
"chri:4943",24,33,21,29,28,16
"chri:4974",30,2,24,26,25,40
"chri:5017",11,40,23,18,8,29
"chri:5191",13,7,13,6,24,6
"chri:5222",21,14,11,21,15,14
"chri:5335",7,11,17,14,1,11
"chri:5347",19,14,22,19,23,24
"chri:5364",21,21,28,20,23,24
"chri:5460",2,1,26,16,17,33
"chri:5469",31,23,9,17,24,26
"chri:5664",15,29,12,25,6,28
"chri:5763",23,23,25,34,5,4
"chri:6020",37,30,43,25,21,16
"chri:6159",26,25,28,12,9,24
"chri:6211",1,22,14,3,25,18
"chri:6352",25,8,10,17,23,29
"chri:6393",35,12,34,19,19,23
"chri:6444",33,30,14,24,39,15
"chri:6560",24,21,26,18,26,12
"chri:6609",32,12,17,15,26,27
"chri:6641",41,10,15,7,32,2
"chri:6690",12,33,31,43,38,17
"chri:6873",25,10,8,25,14,13
"chri:7137",1,31,30,13,12,20
"chri:7230",12,8,31,7,6,28
"chri:7248",42,26,19,21,29,24
"chri:7283",34,14,23,34,18,28
"chri:7549",1,28,22,21,25,27
"chri:7560",1,13,20,11,26,12
"chri:7582",14,27,31,38,13,9
"chri:7617",39,24,17,8,7,5
"chri:7625",42,13,15,25,17,28
"chri:7744",10,28,15,27,19,17
"chri:7760",1,25,1,7,11,20
"chri:7801",20,41,16,30,17,37
"chri:7950",9,5,22,27,23,12
"chri:8109",29,12,11,11,23,15
"chri:8179",16,14,9,26,24,33
"chri:8455",13,27,24,22,1,36
"chri:8633",13,15,4,20,11,38
"chri:8900",19,37,4,40,22,26
"chri:8906",6,19,26,6,33,35
"chri:8973",26,11,5,28,38,37
"chri:9125",9,20,5,2,23,33
"chri:9285",35,14,2,12,29,21
"chri:9288",26,17,20,1,15,7
"chri:9356",9,21,20,19,10,9
"chri:9472",12,18,23,41,16,35
"chri:9532",22,20,25,25,20,35
"chri:9583",25,38,1,10,28,19
"chri:9615",29,18,18,23,26,10
"chri:9617",29,23,33,32,8,16
"chri:9717",13,24,17,13,3,23
"chri:9742",18,14,29,35,27,30
"chri:9843",13,30,27,27,18,16
"chrj:6",25,16,31,23,26,41
"chrj:16",21,27,17,29,35,39
"chrj:58",20,38,29,10,13,19
"chrj:149",8,4,19,30,21,11
"chrj:180",19,21,24,21,27,24
"chrj:192",9,1,39,20,40,29
"chrj:268",4,14,12,20,28,19
"chrj:561",15,27,31,28,1,14
"chrj:600",18,15,23,17,15,11
"chrj:806",24,18,13,23,33,24
"chrj:824",2,7,15,17,12,10
"chrj:853",27,17,23,19,21,14
"chrj:893",15,21,23,31,8,25
"chrj:916",8,12,20,31,11,3
"chrj:951",9,20,20,21,19,29
"chrj:1008",11,44,13,31,12,7
"chrj:1058",27,30,12,24,23,13
"chrj:1090",21,24,39,18,31,38
"chrj:1350",14,35,21,15,19,15
"chrj:1381",11,30,27,9,21,9
"chrj:1458",33,45,7,29,26,12
"chrj:1550",22,23,4,28,16,21
"chrj:1676",33,22,17,8,26,28
"chrj:1723",15,9,1,18,14,19
"chrj:1776",30,14,11,13,11,20
"chrj:1991",21,21,10,1,28,30
"chrj:2065",5,20,21,10,19,24
"chrj:2230",13,15,6,28,29,14
"chrj:2245",5,19,7,15,21,22
"chrj:2246",9,19,12,18,16,32
"chrj:2247",1,21,8,22,17,1
"chrj:2300",4,6,13,31,2,20
"chrj:2630",28,17,31,22,17,25
"chrj:2770",1,33,27,36,23,10
"chrj:2820",26,36,33,10,32,34
"chrj:2876",22,31,21,2,26,20
"chrj:3274",29,36,18,28,13,15
"chrj:3277",12,28,24,18,7,24
"chrj:3304",31,1,10,17,31,30
"chrj:3627",24,25,18,12,39,10
"chrj:3659",27,26,16,16,3,16
"chrj:3675",8,25,10,26,35,27
"chrj:3730",30,22,33,34,20,13
"chrj:3739",16,13,41,6,16,18
"chrj:3743",1,26,25,1,10,10
"chrj:3839",9,1,31,14,29,13
"chrj:3890",36,33,29,41,21,26
"chrj:3967",20,19,15,9,23,19
"chrj:4095",19,23,14,28,28,1
"chrj:4191",12,1,18,34,26,1
"chrj:4520",6,11,19,15,22,16
"chrj:4795",35,18,26,19,19,26
"chrj:5074",15,19,7,7,5,15
"chrj:5120",15,29,18,1,21,1
"chrj:5226",25,15,15,9,32,19
"chrj:5247",8,12,21,26,30,10
"chrj:5269",37,30,13,27,1,17
"chrj:5295",18,22,20,13,11,40
"chrj:5541",13,33,20,16,9,25
"chrj:5702",5,34,22,29,7,9
"chrj:5735",15,25,21,22,7,10
"chrj:6002",6,10,21,30,21,16
"chrj:6157",34,21,33,28,2,33
"chrj:6171",33,11,9,14,24,12
"chrj:6216",14,4,32,9,18,20
"chrj:6262",20,34,10,11,13,15
"chrj:6414",29,21,17,18,3,11
"chrj:6687",40,18,1,16,13,28
"chrj:6877",26,15,32,19,33,20
"chrj:7051",21,3,18,14,3,1
"chrj:7054",18,17,18,24,5,16
"chrj:7188",6,3,27,23,10,29
"chrj:7231",13,18,8,29,13,40
"chrj:7325",16,42,21,4,16,28
"chrj:7363",24,26,16,44,19,22
"chrj:7450",2,24,31,19,17,10
"chrj:7554",11,25,43,2,16,32
"chrj:7597",21,16,31,16,36,15
"chrj:8238",19,12,31,6,18,11
"chrj:8667",11,33,17,20,23,31
"chrj:8731",18,23,13,1,3,1
"chrj:8735",24,7,29,1,37,9
"chrj:8803",26,13,36,25,32,16
"chrj:8853",29,13,20,28,16,11
"chrj:8932",20,1,5,31,27,12
"chrj:8976",29,16,11,25,5,20
"chrj:9003",45,14,12,28,9,15
"chrj:9049",35,18,10,8,31,22
"chrj:9174",5,25,13,5,25,28
"chrj:9335",24,22,17,41,34,12
"chrj:9365",19,19,15,1,14,29
"chrj:9429",41,18,32,23,22,16
"chrj:9434",32,26,6,29,31,38
"chrj:9438",23,31,7,23,33,38
"chrj:9448",25,25,1,17,1,33
"chrj:9452",18,3,1,29,30,28
"chrj:9542",26,22,40,14,21,16
"chrj:9672",22,29,24,18,29,25
"chrj:9837",19,25,19,21,22,27
"chrj:9848",28,24,13,18,11,3
"chrk:120",11,4,15,12,36,26
"chrk:191",6,23,6,25,38,22
"chrk:347",28,4,25,1,21,15
"chrk:360",1,21,35,1,31,2
"chrk:398",22,17,15,28,35,10
"chrk:538",22,22,16,27,18,22
"chrk:559",17,14,20,29,29,26
"chrk:654",9,17,26,17,25,24
"chrk:705",22,25,30,9,13,8
"chrk:727",29,15,1,37,39,43
"chrk:746",26,29,16,25,21,10
"chrk:884",32,25,23,16,37,31
"chrk:926",32,13,1,16,27,23
"chrk:990",23,14,12,10,5,15
"chrk:1149",34,27,19,1,5,21
"chrk:1182",8,21,22,19,24,10
"chrk:1345",27,11,29,24,37,15
"chrk:1454",45,22,14,12,21,30
"chrk:1475",33,18,17,13,24,21
"chrk:1674",24,22,7,12,2,10
"chrk:1677",21,24,34,37,7,14
"chrk:1723",42,10,8,23,17,20
"chrk:1918",24,27,26,27,28,22
"chrk:1978",9,31,15,25,21,31
"chrk:2209",24,1,26,20,1,13
"chrk:2389",11,30,15,31,16,24
"chrk:2402",27,7,3,16,24,16
"chrk:2458",25,1,31,12,22,21
"chrk:2492",29,20,23,23,19,33
"chrk:2605",3,31,34,16,4,36
"chrk:2705",30,21,36,7,27,28
"chrk:2793",1,33,33,17,10,24
"chrk:2938",32,8,4,16,15,19
"chrk:2968",22,22,10,1,24,14
"chrk:3050",25,1,4,21,20,12
"chrk:3316",14,21,24,3,26,1
"chrk:3479",17,18,27,16,16,11
"chrk:3484",26,38,6,20,29,33
"chrk:3632",13,22,10,23,24,4
"chrk:3678",24,35,13,1,22,30
"chrk:3753",9,32,13,28,23,4
"chrk:3805",13,16,7,28,1,35
"chrk:3847",21,17,16,1,19,18
"chrk:3927",6,32,20,16,16,26
"chrk:4041",22,13,19,12,16,21
"chrk:4067",18,18,5,24,15,32
"chrk:4253",8,15,25,21,18,17
"chrk:4371",25,34,29,16,23,20
"chrk:4553",24,27,36,22,26,34
"chrk:4760",30,13,16,25,14,28
"chrk:4900",13,22,37,15,1,16
"chrk:5507",18,26,30,22,30,26
"chrk:5781",7,21,6,5,24,21
"chrk:5933",15,15,12,20,20,13
"chrk:5942",32,32,14,33,24,22
"chrk:6133",16,11,29,12,28,1
"chrk:6313",29,11,29,21,26,22
"chrk:6383",32,40,17,14,26,12
"chrk:6546",19,38,31,27,15,31
"chrk:6554",28,30,8,10,36,19
"chrk:6643",14,1,32,8,14,33
"chrk:6862",30,18,14,36,29,28
"chrk:7042",26,25,5,4,19,18
"chrk:7052",19,32,11,15,24,17
"chrk:7343",20,20,16,10,26,29
"chrk:7377",28,11,11,26,20,31
"chrk:7393",23,5,25,18,33,11
"chrk:7449",22,25,13,16,7,30
"chrk:7520",13,15,19,18,19,16
"chrk:7598",16,6,31,7,11,21
"chrk:7640",30,7,13,33,16,24
"chrk:7728",19,6,46,18,16,5
"chrk:7762",14,11,12,16,31,2
"chrk:7775",34,24,4,25,1,11
"chrk:7800",23,15,22,24,17,14
"chrk:8180",2,19,10,20,21,22
"chrk:8238",6,9,48,20,28,1
"chrk:8276",18,20,24,27,16,19
"chrk:8277",21,8,28,22,5,29
"chrk:8417",24,34,15,27,20,6
"chrk:8498",16,7,4,20,19,20
"chrk:8522",25,18,7,8,11,25
"chrk:8808",2,13,30,20,23,13
"chrk:8832",19,17,7,40,27,7
"chrk:8917",23,12,24,35,33,25
"chrk:9055",31,19,14,34,4,26
"chrk:9104",29,13,10,1,1,27
"chrk:9144",20,11,9,1,12,22
"chrk:9271",17,16,11,40,2,10
"chrk:9354",12,20,13,10,23,9
"chrk:9363",17,34,27,8,13,23
"chrk:9496",23,18,34,24,12,34
"chrk:9586",17,27,32,23,19,22
"chrk:9625",31,18,34,18,22,13
"chrk:9648",10,20,34,28,13,21
"chrk:9680",11,32,8,20,6,22
"chrk:9701",17,1,33,20,28,20
"chrk:9703",23,12,18,21,19,9
"chrk:9837",21,15,15,35,22,38
"chrk:9988",25,1,14,13,11,22
